1654779600000,30112.87000000,30199.00000000,30066.63000000,30157.69000000,606.08623000,1654780499999,18263620.79537430,9849,326.89934000,9851323.73252130,0
1654780500000,30157.68000000,30220.43000000,30136.52000000,30139.18000000,523.34125000,1654781399999,15789555.92985000,8929,235.42580000,7102778.93708730,0
1654781400000,30139.18000000,30258.99000000,29944.10000000,30000.94000000,1667.73707000,1654782299999,50187239.78051240,22225,749.74128000,22565400.27379850,0
1654782300000,30000.94000000,30238.20000000,30000.77000000,30167.30000000,1134.66092000,1654783199999,34189144.27402770,15878,587.14519000,17689741.08726730,0
1654783200000,30167.30000000,30235.04000000,30059.29000000,30177.75000000,927.48818000,1654784099999,27963215.26902910,12503,471.98723000,14230277.34586310,0
1654784100000,30177.75000000,30271.20000000,30154.26000000,30256.64000000,917.91230000,1654784999999,27729510.43057050,11977,472.65541000,14277634.38003430,0
1654785000000,30256.64000000,30287.07000000,30187.95000000,30205.55000000,621.91672000,1654785899999,18805016.89084280,11157,286.44072000,8660607.51636130,0
1654785900000,30205.56000000,30205.56000000,30079.00000000,30116.57000000,553.88149000,1654786799999,16684916.94574890,10756,267.32781000,8053097.24750380,0
1654786800000,30116.56000000,30138.21000000,30036.19000000,30098.83000000,622.29996000,1654787699999,18718713.49139610,11582,327.80160000,9859525.32471900,0
1654787700000,30098.82000000,30186.44000000,30089.16000000,30133.64000000,405.10279000,1654788599999,12209682.51783590,8562,245.64258000,7403432.02911660,0
1654788600000,30133.63000000,30389.05000000,30122.71000000,30323.31000000,648.51997000,1654789499999,19622032.67157470,13495,379.96252000,11492000.63178730,0
1654789500000,30323.32000000,30339.77000000,30192.18000000,30302.24000000,685.39088000,1654790399999,20749908.92744460,10994,392.65349000,11886013.94818430,0
1654790400000,30302.23000000,30329.72000000,30180.20000000,30208.94000000,694.05283000,1654791299999,20992624.40215460,11003,283.47785000,8576257.89377190,0
1654791300000,30208.95000000,30224.20000000,30180.49000000,30215.02000000,369.06144000,1654792199999,11146389.83893300,7812,200.47537000,6054588.42053180,0
1654792200000,30215.01000000,30375.34000000,30188.00000000,30349.40000000,701.35581000,1654793099999,21240574.48755630,10212,431.42523000,13065324.62428860,0
1654793100000,30349.40000000,30374.38000000,30297.72000000,30351.93000000,530.23648000,1654793999999,16080497.46634080,9380,258.34601000,7834894.53653810,0
1654794000000,30351.94000000,30450.00000000,30305.96000000,30319.56000000,926.86973000,1654794899999,28152966.98678290,14204,446.59584000,13566333.91897840,0
1654794900000,30319.55000000,30349.30000000,30250.33000000,30261.51000000,404.53699000,1654795799999,12257511.33522140,8714,200.30062000,6068618.81732110,0
1654795800000,30261.52000000,30285.70000000,30208.69000000,30218.82000000,441.50744000,1654796699999,13356114.28327570,8792,216.19653000,6539549.36467660,0
1654796700000,30218.83000000,30323.54000000,30207.92000000,30323.53000000,375.24998000,1654797599999,11359701.75655140,7429,219.21654000,6635891.34140820,0
1654797600000,30323.54000000,30347.00000000,30254.53000000,30319.38000000,367.47472000,1654798499999,11136189.16707660,8348,172.92795000,5240214.58468420,0
1654798500000,30319.39000000,30336.37000000,30170.00000000,30238.07000000,445.37921000,1654799399999,13474891.01689630,10176,202.86565000,6138038.55416620,0
1654799400000,30238.07000000,30238.08000000,30141.91000000,30163.34000000,446.12995000,1654800299999,13460633.10168100,10717,181.24433000,5468333.27431760,0
1654800300000,30163.34000000,30195.36000000,30143.81000000,30148.23000000,475.49273000,1654801199999,14342285.82336170,10078,150.93649000,4553170.16340080,0
1654801200000,30148.23000000,30158.07000000,30102.00000000,30115.28000000,411.17574000,1654802099999,12386694.89460490,9197,175.10315000,5274572.95229040,0
1654802100000,30115.28000000,30173.22000000,30089.29000000,30092.54000000,424.64214000,1654802999999,12791337.92738690,7898,216.97785000,6535455.12216320,0
1654803000000,30092.53000000,30133.54000000,30088.01000000,30132.02000000,311.89580000,1654803899999,9391155.95553960,6936,151.32830000,4556084.07622910,0
1654803900000,30132.02000000,30140.41000000,29976.00000000,30017.12000000,663.48891000,1654804799999,19947630.87730860,11968,279.91838000,8417351.07675320,0
1654804800000,30017.12000000,30157.14000000,29970.51000000,30127.63000000,830.12350000,1654805699999,24945392.77692600,15290,455.66705000,13691198.01579320,0
1654805700000,30127.63000000,30155.44000000,30081.65000000,30127.47000000,401.15261000,1654806599999,12082486.45788600,7558,195.98848000,5902319.65757060,0
1654806600000,30127.47000000,30138.90000000,30101.04000000,30101.05000000,186.37654000,1654807499999,5614280.07931680,5273,88.02446000,2651549.09368210,0
1654807500000,30101.05000000,30197.77000000,30101.04000000,30185.93000000,285.62511000,1654808399999,8613743.96978620,6920,142.43494000,4294818.87676270,0
1654808400000,30185.92000000,30250.00000000,30161.24000000,30249.99000000,372.02633000,1654809299999,11233740.27942260,8031,197.55560000,5965953.69093960,0
1654809300000,30249.99000000,30250.00000000,30168.52000000,30177.20000000,205.96523000,1654810199999,6222641.14168810,5847,95.01050000,2870694.16061990,0
1654810200000,30177.20000000,30216.69000000,30134.61000000,30216.68000000,99.12429000,1654811099999,2991319.43849990,5262,58.94056000,1778707.41103810,0
1654811100000,30216.69000000,30217.03000000,30136.08000000,30139.31000000,108.41479000,1654811999999,3270445.84616110,5254,37.48288000,1130694.02796920,0
1654812000000,30139.30000000,30155.66000000,30096.58000000,30096.59000000,329.75264000,1654812899999,9935095.39487170,7869,131.50990000,3962451.01217900,0
1654812900000,30096.59000000,30114.60000000,30037.68000000,30093.23000000,394.68389000,1654813799999,11871922.47662840,7189,180.77255000,5436949.48133770,0
1654813800000,30093.23000000,30122.62000000,30017.00000000,30053.21000000,313.79413000,1654814699999,9431715.07024050,9063,131.32852000,3947312.57456440,0
1654814700000,30053.20000000,30086.18000000,30021.16000000,30067.61000000,205.07403000,1654815599999,6162169.20448890,5325,109.16233000,3280366.91431030,0
1654815600000,30067.61000000,30067.62000000,30000.84000000,30026.85000000,375.02369000,1654816499999,11259603.78379360,6785,169.22151000,5080056.96399140,0
1654816500000,30026.84000000,30114.75000000,30000.00000000,30092.30000000,758.23546000,1654817399999,22770345.10914110,7864,294.24158000,8840347.84976590,0
1654817400000,30092.30000000,30122.69000000,30070.72000000,30107.18000000,179.65512000,1654818299999,5407921.85065740,4686,91.66415000,2759204.55176970,0
1654818300000,30107.19000000,30124.04000000,30091.79000000,30109.93000000,156.59917000,1654819199999,4714806.73519780,4431,91.43432000,2752751.38790910,0
1654819200000,30109.93000000,30145.38000000,30000.00000000,30001.40000000,988.15265000,1654820099999,29679057.00768290,11394,337.64002000,10147801.32604360,0
1654820100000,30001.40000000,30008.93000000,29578.96000000,29806.44000000,4868.08052000,1654820999999,145182093.55723480,56878,1582.83161000,47088730.03348050,0
1654821000000,29806.43000000,29861.76000000,29692.00000000,29832.12000000,907.19377000,1654821899999,27003651.54521640,16482,417.87849000,12438669.95531880,0
1654821900000,29832.13000000,29888.18000000,29755.11000000,29755.12000000,550.66987000,1654822799999,16429392.74146310,10721,233.01251000,6952620.55306880,0
1654822800000,29755.11000000,29831.33000000,29739.90000000,29797.78000000,499.06041000,1654823699999,14863283.00042660,9433,251.56604000,7491530.20040450,0
1654823700000,29797.78000000,30057.51000000,29768.55000000,29969.98000000,1018.46778000,1654824599999,30500365.70861200,14602,581.59696000,17413859.05573520,0
1654824600000,29969.97000000,29982.58000000,29906.71000000,29917.41000000,249.13007000,1654825499999,7458435.23919430,6420,124.62742000,3730823.92705380,0
1654825500000,29917.40000000,29947.69000000,29865.90000000,29885.72000000,290.82797000,1654826399999,8699806.89004650,6798,136.32823000,4077957.89091780,0
1654826400000,29885.73000000,30039.13000000,29874.06000000,29974.91000000,454.08910000,1654827299999,13608527.44698810,9054,251.06684000,7523281.20726490,0
1654827300000,29974.90000000,30031.91000000,29974.21000000,30012.96000000,206.27388000,1654828199999,6189229.66137410,5645,104.68180000,3140779.72950200,0
1654828200000,30012.95000000,30030.91000000,29978.44000000,29995.96000000,232.39929000,1654829099999,6971094.54410120,5657,117.47454000,3523587.37057140,0
1654829100000,29995.95000000,30024.01000000,29990.37000000,30024.00000000,160.88231000,1654829999999,4827566.70612480,3960,100.96556000,3029532.75603350,0
